provinsi,gmv_transaksi_juta,volume_transaksi_tahunan,proporsi_e_commerce_pct,infrastruktur_digital_score,rasio_pembayaran_digital,frekuensi_pengiriman_logistik,omset_dilaporkan_spt_juta,pajak_disetor_juta,target_compliance_risk
DKI Jakarta,17.33,138,38.34,86.48,0.771,150,13.76,0.07,0
Sumatera Selatan,406.84,128,37.91,89.52,0.807,110,343.32,1.72,0
Riau,429.98,130,42.07,65.0,0.756,142,362.19,1.81,0
Banten,48.29,122,29.27,95.18,0.402,120,34.93,0.17,0
Banten,77.39,135,49.96,67.34,0.213,139,51.22,0.26,1
Bali,20.81,144,40.32,63.34,0.405,157,16.7,0.08,1
DKI Jakarta,258.2,134,19.55,65.26,0.826,146,108.87,0.54,0
Riau,122.31,133,33.71,67.57,0.802,129,67.96,0.34,0
Jawa Tengah,199.78,137,32.93,65.53,0.628,131,113.09,0.57,0
DKI Jakarta,173.36,132,32.38,91.34,0.739,132,157.06,0.79,0
Sumatera Utara,217.99,131,41.11,77.5,0.85,113,149.73,0.75,0
Sulawesi Selatan,104.49,137,42.62,97.41,0.582,125,44.91,0.22,1
Sumatera Selatan,54.56,142,41.2,54.11,0.594,148,53.56,0.27,0
Sumatera Selatan,99.17,123,39.07,80.09,0.71,102,64.51,0.32,0
Sumatera Selatan,36.36,106,36.03,54.71,0.962,99,16.36,0.08,0
Sumatera Selatan,644.29,144,9.19,72.48,0.742,128,432.96,2.16,1
Sumatera Utara,93.68,130,44.33,68.75,0.68,126,95.29,0.48,0
Jawa Barat,59.44,146,40.86,83.36,0.83,125,54.74,0.27,0
Bali,77.55,129,23.18,86.53,0.687,139,60.94,0.3,0
Banten,81.73,129,38.37,61.67,0.551,133,73.02,0.37,0
Sumatera Utara,116.11,124,42.78,59.49,0.764,102,85.42,0.43,0
Jawa Timur,116.67,119,49.05,70.56,0.839,106,107.64,0.54,0
Jawa Barat,63.63,130,41.12,61.86,0.626,105,60.2,0.3,0
Sulawesi Selatan,118.34,123,38.86,83.15,0.697,102,73.29,0.37,0
Sumatera Selatan,623.03,129,46.36,75.37,0.657,119,429.58,2.15,1
Riau,29.57,130,31.32,90.52,0.664,116,16.18,0.08,0
Banten,42.03,130,39.94,98.08,0.572,124,35.53,0.18,0
Bali,549.05,131,27.55,68.53,0.768,116,268.52,1.34,1
Sumatera Utara,268.76,150,48.32,94.69,0.743,134,189.97,0.95,1
Banten,520.03,135,15.68,88.08,0.961,146,534.72,2.67,0
Banten,196.91,137,44.8,57.31,0.864,145,138.41,0.69,0
