provinsi,gmv_transaksi_juta,reported_turnover_spt_juta,tax_paid_final_juta,annual_order_volume,avg_ticket_size_ribu,digital_payment_ratio,logistics_tracking_ratio,customer_return_rate,bps_ecom_penetration_pct,bps_infrastructure_index,target_non_compliance
Jawa Tengah,19.82,19.82,0.1,154,128.67,0.515,0.6272,0.0253,33.68,5.74,0
Sulawesi Selatan,16.92,10.02,0.05,160,105.76,0.5538,0.763,0.0169,28.51,5.92,1
Sumatera Utara,27.76,20.36,0.1,171,162.35,0.3129,0.5543,0.001,29.1,6.05,1
Riau,19.76,14.03,0.07,173,114.2,0.6632,0.8628,0.0073,27.47,6.11,0
Jawa Timur,23.21,12.31,0.06,191,121.53,0.3499,0.5526,0.0258,36.61,6.15,1
Riau,47.56,34.48,0.17,172,276.53,0.5464,0.8068,0.0273,25.93,6.26,0
Jawa Tengah,55.1,34.56,0.17,156,353.18,0.5343,0.5707,0.0399,32.34,5.83,1
Banten,15.18,12.19,0.06,150,101.21,0.5861,0.7878,0.0519,44.33,6.32,0
DKI Jakarta,20.16,12.24,0.06,164,122.96,0.5593,0.6748,0.0447,64.35,7.64,0
Banten,20.02,11.91,0.06,153,130.86,0.6324,0.772,0.0267,45.48,6.46,1
Sumatera Selatan,25.07,23.62,0.12,146,171.68,0.6693,0.6663,0.0379,22.97,6.01,0
Jawa Timur,27.38,15.65,0.08,157,174.37,0.6227,0.6919,0.0235,34.98,5.97,0
DKI Jakarta,17.76,9.82,0.05,155,114.61,0.3643,0.8521,0.0311,64.87,7.73,1
Bali,28.5,20.32,0.1,150,189.99,0.731,0.7597,0.0349,47.95,6.85,0
Jawa Tengah,19.91,12.57,0.06,170,117.1,0.6291,0.691,0.0552,31.72,5.94,0
Riau,18.81,12.85,0.06,154,122.12,0.7077,0.8191,0.0582,23.37,5.82,0
Sumatera Selatan,12.98,11.34,0.06,136,95.42,0.7208,0.6675,0.0234,26.43,5.88,0
Jawa Tengah,40.44,29.29,0.15,161,251.17,0.6787,0.3765,0.0404,33.61,5.88,0
Jawa Tengah,42.47,26.99,0.13,181,234.63,0.509,0.7209,0.0542,34.02,5.83,0
Sumatera Utara,30.91,21.26,0.11,177,174.61,0.5337,0.6176,0.0373,29.07,6.19,0
Banten,30.26,21.53,0.11,147,205.87,0.6847,0.8258,0.0328,44.44,6.34,0
Jawa Barat,41.55,33.2,0.17,159,261.3,0.7695,0.7348,0.0601,43.35,6.03,0
DKI Jakarta,33.02,27.55,0.14,153,215.8,0.5711,0.718,0.0529,63.43,7.64,0
DKI Jakarta,35.15,29.19,0.15,165,213.05,0.7438,0.6144,0.0392,62.07,7.81,0
Jawa Timur,21.41,18.18,0.09,180,118.94,0.6297,0.8271,0.0215,34.2,5.8,0
Jawa Barat,11.29,6.9,0.03,152,74.31,0.6549,0.5525,0.0083,46.75,6.09,1
Sumatera Selatan,15.7,12.72,0.06,156,100.62,0.6014,0.8024,0.0437,24.38,5.98,0
Bali,71.77,43.82,0.22,150,478.49,0.4904,0.8515,0.0522,48.08,6.44,1
Sumatera Selatan,18.77,14.56,0.07,144,130.38,0.7312,0.5932,0.019,23.12,5.76,0
Jawa Tengah,63.7,36.71,0.18,186,342.48,0.3411,0.5559,0.0598,34.77,5.66,1
Jawa Timur,29.36,22.86,0.11,152,193.16,0.6833,0.9167,0.0333,37.07,5.85,0
Sulawesi Selatan,23.53,13.96,0.07,163,144.34,0.238,0.5623,0.0052,26.6,5.95,0
Jawa Barat,14.74,14.36,0.07,154,95.71,0.7464,0.7548,0.0498,42.92,6.12,0
Jawa Timur,15.81,13.46,0.07,151,104.68,0.7987,0.8749,0.0381,37.32,5.85,0
Banten,20.87,12.88,0.06,152,137.28,0.4923,0.7394,0.0371,43.54,6.33,1
Banten,21.8,17.94,0.09,159,137.08,0.8737,0.7229,0.0568,45.34,6.5,0
Sulawesi Selatan,33.11,18.57,0.09,171,193.65,0.6697,0.8913,0.0702,31.09,6.05,0
Bali,17.15,10.09,0.05,162,105.88,0.4774,0.7189,0.0517,48.11,6.86,0
Sulawesi Selatan,17.34,11.68,0.06,161,107.67,0.5923,0.8373,0.0318,27.47,5.93,0
Jawa Tengah,40.04,24.61,0.12,174,230.09,0.5915,0.5915,0.0054,31.96,5.81,0
DKI Jakarta,74.04,52.86,0.26,183,404.62,0.4641,0.7353,0.0525,63.31,7.75,0
Sulawesi Selatan,24.31,12.67,0.06,159,152.91,0.3466,0.7909,0.0411,24.96,5.95,1
Jawa Barat,29.18,28.69,0.14,159,183.55,0.5948,0.59,0.0244,45.03,6.15,0
Riau,19.76,16.32,0.08,145,136.27,0.9424,0.7682,0.0296,24.15,5.84,0
Bali,23.7,17.92,0.09,167,141.92,0.659,0.6096,0.0699,47.53,6.56,0
DKI Jakarta,20.59,17.61,0.09,156,132.01,0.5589,0.7684,0.0591,63.67,7.84,0
Riau,20.63,11.7,0.06,167,123.51,0.7068,0.7033,0.0626,28.22,6.3,0
Sulawesi Selatan,31.32,14.49,0.07,161,194.53,0.5396,0.6071,0.0611,26.62,6.18,0
Sulawesi Selatan,32.35,25.79,0.13,161,200.95,0.6754,0.8766,0.0452,27.62,6.03,0
Jawa Tengah,21.18,15.54,0.08,163,129.97,0.5372,0.9068,0.0193,33.64,5.92,0
Jawa Tengah,18.0,9.94,0.05,162,111.1,0.3946,0.7203,0.0421,32.19,5.9,1
Jawa Tengah,19.76,13.84,0.07,170,116.25,0.5981,0.7314,0.0531,33.02,5.79,0
Sumatera Utara,39.91,22.08,0.11,195,204.65,0.3881,0.6566,0.0377,26.02,5.92,1
Bali,16.41,8.87,0.04,164,100.08,0.5896,0.7574,0.0453,47.95,6.63,1
Sulawesi Selatan,13.29,9.02,0.05,146,91.02,0.6413,0.9377,0.0512,29.75,6.0,0
Jawa Timur,24.33,22.18,0.11,144,168.94,0.6706,0.8536,0.0594,38.07,6.06,0
Sumatera Utara,22.68,16.99,0.08,160,141.73,0.6981,0.5299,0.0589,27.74,5.75,1
Sumatera Selatan,21.61,13.54,0.07,158,136.79,0.5631,0.6496,0.0327,22.8,5.86,1
Riau,35.38,19.11,0.1,157,225.34,0.4447,0.7279,0.0136,25.83,6.22,1
DKI Jakarta,20.42,16.1,0.08,143,142.8,0.592,0.8664,0.0707,61.34,7.8,0
Bali,17.23,6.99,0.03,161,107.04,0.3355,0.6081,0.0465,48.44,6.48,1
Sulawesi Selatan,22.67,21.46,0.11,142,159.62,0.9084,0.8774,0.0342,27.28,5.85,0
Riau,19.5,17.93,0.09,182,107.16,0.8491,0.8407,0.0028,25.48,6.06,0
Banten,33.13,24.02,0.12,143,231.67,0.7066,0.6307,0.0543,43.91,6.47,0
Sumatera Selatan,21.63,18.15,0.09,146,148.16,0.5161,0.6845,0.0499,25.13,5.94,0
Jawa Barat,15.3,13.34,0.07,169,90.55,0.5443,0.6386,0.0345,41.82,6.16,0
Jawa Tengah,26.45,19.61,0.1,167,158.4,0.7094,0.61,0.0477,34.64,5.94,0
Sulawesi Selatan,15.56,10.37,0.05,155,100.41,0.6657,0.7845,0.0682,29.59,6.04,0
Jawa Timur,37.26,28.98,0.14,149,250.08,0.7063,0.6577,0.0147,40.15,6.03,0
Sumatera Selatan,21.07,17.59,0.09,151,139.51,0.3968,0.6116,0.0625,24.76,5.99,1
Banten,32.16,25.54,0.13,159,202.28,0.6838,0.7631,0.0214,46.33,6.33,0
Sumatera Selatan,15.78,12.07,0.06,145,108.86,0.7124,0.7831,0.0164,25.78,5.77,1
Bali,22.11,15.89,0.08,166,133.19,0.7996,0.6479,0.0346,49.03,6.69,0
Sumatera Utara,29.47,27.51,0.14,163,180.83,0.6326,0.6837,0.0674,26.58,5.98,0
Jawa Timur,19.93,11.74,0.06,147,135.56,0.4338,0.6835,0.0245,38.19,5.73,0
Riau,14.81,9.46,0.05,154,96.16,0.5199,0.8433,0.0372,26.51,6.24,0
Jawa Tengah,31.37,21.01,0.11,148,211.94,0.4832,0.5722,0.0105,35.88,5.89,0
Jawa Tengah,26.36,14.89,0.07,156,168.96,0.4135,0.633,0.0504,34.31,5.89,1
DKI Jakarta,13.84,11.03,0.06,156,88.75,0.6093,0.6814,0.0229,65.12,7.71,0
Sumatera Utara,19.27,13.32,0.07,157,122.75,0.4843,0.5381,0.0309,27.54,6.14,0
